doi	affiliations	countries	properties
10.1007/978-3-642-28252-2_8	EA 6295, Nanomedicaments et Nanosondes Universite François Rabelais de Tours Tours France	France	body,top down
10.1007/s10457-009-9244-8	Department of Agricultural, Food, and Nutritional Sciences University of Alberta Edmonton Canada	Canada	body,top down,furniture
10.1007/978-3-319-24184-5_63	LaTrobe University Kent USA	United States	body,involvement,ideation,context,top down
10.1007/978-3-642-22048-7_4	International Centre for Integrated assessment and Sustainable development ICIS-Maastricht University Maastricht The Netherlands;Institut fur Ethik und transdisziplinare Nachhaltigkeitsforschung Leuphana University Luneburg Germany;Psychology and Neuroscience, Work and Social Psychology, Applied Social Psychology ICIS-Maastricht University Maastricht The Netherlands	Germany;Netherlands	involvement,top down
10.1007/978-3-319-45324-8_6	Institute for Psychology Darmstadt University of Technology Darmstadt Germany	Germany	body,ideation,top down
10.1007/s40011-016-0795-y	Division of Agronomy ICAR-Indian Agricultural Research Institute New Delhi India	India	body,top down,workflow,furniture
10.1007/s10393-014-0964-5	Robert Wood Johnson Foundation Health and Society Scholars Program University of California San Francisco San Francisco USA;University of California Berkeley, School of Public Health Berkeley USA;Environment and Natural Resources World Bank Group Washington USA;Propeller Health San Francisco USA	United States	environmental,involvement,top down,body
10.1007/978-3-319-64858-3_6	Federal University of Bahia (UFBA) Salvador Brazil;Catholic University of Salvador (UCSAL) Salvador Brazil;Montgomery College Rockville USA	Brazil	furniture,ideation,top down
10.1007/s00436-017-5632-6	Universite Lyon 1 , CNRS UMR 5557/ UMR INRA 1418 Ecologie Microbienne Villeurbanne CEDEX France;Universite Lyon 1 , CNRS UMR 5240 Microbiologie, Adaptation, Pathogenie Villeurbanne CEDEX France;CIRI, Centre International de Recherche en Infectiologie, Team HoriGene, Inserm, U1111 Universite Claude Bernard Lyon 1, CNRS, UMR5308, École Normale Superieure de Lyon Villeurbanne France	France	diversity,involvement,top down
10.1007/s10853-018-2554-3	Key Laboratory of High-efficiency and Clean Mechanical Manufacture Shandong University Jinan China;National Demonstration Center for Experimental Mechanical Engineering Education Shandong University Jinan China;Department of Mechanical and Aerospace Engineering University of Florida Gainesville USA;Department of Biomedical Engineering University of Florida Gainesville USA	China	body,involvement,top down,furniture
10.1007/s10896-011-9358-4	Department of Psychology University of Nevada, Las Vegas Las Vegas USA	United States	body,involvement,top down,context
10.1007/978-1-4020-9827-7_4	Institute for Educational Technology National Research Council Italy;Intelligent Agents and Synthetic Characters Group INESC-ID Portugal	Italy;Portugal	body,top down
10.1007/s11274-009-0172-6	Department of Biochemistry, Faculty of Biology and Environment Protection University of Silesia Katowice Poland	Poland	involvement,top down
10.1007/978-3-642-41016-1_33	Research Programs Section Hellenic Telecommunications Organization (OTE) S.A. Athens Greece;Hellenic Telecommunications Organization (OTE) S.A. Athens Greece;Faculty of Law National and Kapodistrian University of Athens Athens Greece	Greece	body,ideation,context,top down,diversity
10.1007/s13770-012-0352-6	Center for Joint Diseases Chonnam Nat'l Univ. Hwasun Hospital Jeonnam Korea;Heart Research Center of Chonnam Nat'l Univ. Hospital Gwangju Korea	Unknown	involvement,top down
10.1007/s11406-015-9620-8	School of Philosophy, Psychology and Language Sciences University of Edinburgh Edinburgh UK;Escuela de Psicologia y Filosofia Universidad de Tarapaca Arica Chile;Department of Philosophy, Theology and Religious Studies Radboud University Nijmegen The Netherlands;Donders Institute for Brain, Cognition, and Behaviour Radboud University Nijmegen Nijmegen The Netherlands	Chile;Netherlands	body,top down
10.1007/s12010-015-1763-3	Biotechnology Program, Faculty of Science Chulalongkorn University Bangkok Thailand;Institute of Biotechnology and Genetic Engineering Chulalongkorn University Bangkok Thailand;Department of Microbiology, Faculty of Pharmaceutical Sciences Chulalongkorn University Bangkok Thailand;Department of Chemical Engineering, Faculty of Engineering Chulalongkorn University Bangkok Thailand;William G. Lowrie Department of Chemical and Biomolecular Engineering The Ohio State University Columbus USA	Thailand	involvement,top down
10.1007/978-3-642-22048-7_9	Department of Psychology, Research and Application Centre for Children Living and Working on the Street Maltepe University Istanbul Turkey	Turkey	body,involvement,top down
10.1007/978-0-387-77640-8_5		Unknown	body,top down
10.1007/978-94-007-5790-5_4	Institute for Limnology Austrian Academy of Sciences Mondsee Austria;Department Limnology University of Vienna Vienna Austria	Austria	environmental,top down,body,furniture
10.1007/978-981-10-4062-7_13	School of Education Southern Cross University East Lismore Australia;Nulungu Research Institute University of Notre Dame Notre Dame USA;Victoria University of Wellington Wellington New Zealand;University of Notre Dame Australia Fremantle Australia	Australia;New Zealand	body,furniture,top down,context,participatory design
10.1007/s11104-010-0446-7	Department of Biology Colorado State University Fort Collins USA;Natural Resource Ecology Laboratory Colorado State University Fort Collins USA;School of Life Sciences Arizona State University Tempe USA;Department of Biology Laramie County Community College Laramie USA;Soil, Water, and Plant Testing Laboratory, Soil and Crop Sciences Department Colorado State University Fort Collins USA;Department of Forest, Rangeland and Watershed Stewardship Colorado State University Fort Collins USA	United States	top down,workflow
10.1007/978-94-007-4473-8_18	Department of Sociology University of California Riverside USA	United States	body,ideation,workflow,context,top down,environmental
10.1007/978-94-017-9118-2_14	Institut Mediterraneen d'Oceanologie (MIO) UM 110, CNRS 7294 IRD 235, Universite de Toulon, Aix-Marseille Universite Marseille Cedex 9 France;Institut des Sciences Analytiques et de Physico-chimie pour l'Environnement et les Materiaux (IPREM) UMR CNRS 5254, Universite de Pau et des Pays de l'Adour Pau Cedex France;Observatoire Oceanologique, Laboratoire d' Oceanographie CNRS-UPMC Villefranche-sur-Mer Cedex France;Microbial Ecology Center UMR CNRS 5557 / USC INRA 1364, Universite Lyon 1 Villeurbanne France;Institut Mediterraneen de Biodiversite et d'Ecologie marine et continentale (IMBE) UMR-CNRS-IRD 7263, Aix-Marseille Universite Marseille Cedex 20 France	France	diversity,involvement,top down
10.1007/s12033-012-9631-7	Department of Biological Sciences & Molecular Biosensor and Imaging Center Carnegie Mellon University Pittsburgh USA;Department of Biological Sciences The University of the Sciences Philadelphia USA	United States	body,involvement,top down
10.1007/978-3-319-49157-8_7	SRI International Menlo Park USA	United States	body,stakeholders,top down,context,feedback
10.1007/s11099-018-0792-x	Global Climate Cluster, Building 4 University of Technology Sydney Broadway Australia;Tropical Environmental Plant Biology Unit, Faculty of Technology and Environment Prince of Songkla University Phuket Kathu, Phuket Thailand;University of Dundee at the James Hutton Institute Invergowrie, Dundee UK	Australia;Thailand	body,top down
10.1007/s00203-017-1387-9	State Key Laboratory of Soil and Sustainable Agriculture, Institute of Soil Science Chinese Academy of Sciences Nanjing China;School of Life Science and Technology Inner Mongolia University of Science and Technology Baotou China;School of Environment and Energy Inner Mongolia University of Science and Technology Baotou China;University of Chinese Academy of Sciences Beijing China	China;Mongolia	ideation,top down
10.1007/s11625-012-0191-3	Centre for Sustainability Studies Lund University (LUCSUS) Lund Sweden	Sweden	body,involvement,top down,context
10.1186/s13673-017-0087-4	Department of Computer Science and Engineering Seoul National University of Science and Technology (SeoulTech) Seoul Korea	Unknown	involvement,furniture,stakeholders,top down,wearables
10.1007/978-3-319-58700-4_26	École de design Universite de Montreal Montreal Canada;Department of Leisure, Culture and Tourism Studies Universite du Quebec a Trois-Rivieres Trois-Rivieres Canada;School of Physical and Occupational Therapy McGill University Montreal Canada;Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal - Centre de recherche IRGLM Montreal Canada;Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal- Jewish, Rehabilitation Hospital Laval Canada;Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal Montreal Canada;School of Speech-Language Pathology and Audiology Universite de Montreal Montreal Canada	Canada	body,involvement,furniture,top down,participatory design
10.1007/978-3-319-53512-8_7	Institute for Complex Analysis of Regional Problems FEB RAS Birobidzhan Russia	Unknown	body,ideation,top down
10.1007/978-81-322-2220-0_14	Amity Institute of Information Technology, Amity University Rajasthan Jaipur India	India	body,top down,wearables
10.1007/978-3-642-18137-5_11	Department of Physics and Chemistry, FLinT Center for Living Technology University of Southern Denmark Odense M Denmark	Denmark	body,participatory design,top down
10.1186/1742-4682-8-4	Department of Pathology Beth Israel Deaconess Medical Center and Harvard Medical School Boston USA	Israel	body,ideation,top down
10.1140/epjh/e2012-20060-1	Superresolution Microscopy, Institute of Molecular Biology (IMB) Mainz Germany;Kirchhoff Institute of Physics (KIP), University Heidelberg Heidelberg Germany;Department of the History of Science, Harvard University Cambridge USA;Department of Biological Engineering, Massachusetts Institute of Technology Cambridge USA	Germany	body,ideation,top down
10.1007/s11270-014-2066-y	Department of Invertebrate Zoology, Faculty of Biology and Environment Protection Nicolaus Copernicus University Toruń Poland;Department of Animal Physiology, Faculty of Biology and Environment Protection Nicolaus Copernicus University Toruń Poland;Department of Environmental Microbiology and Biotechnology, Faculty of Biology and Environment Protection Nicolaus Copernicus University Toruń Poland	Poland	body,top down
10.1007/s12187-018-9571-2	School of Psychology Northeast Normal University Changchun China	China	environmental,top down,body
10.1186/s12862-015-0581-0	Key Laboratory of Sustainable Exploitation of Oceanic Fisheries Resources, Ministry of Education, College of Marine Sciences Shanghai Ocean University Shanghai China;Key Laboratory of Aquaculture Resources and Utilization, Ministry of Education, College of Fisheries and Life Sciences Shanghai Ocean University Shanghai China;Collaborative Innovation Center for Distant-water Fisheries Shanghai China;Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology Chinese Academy of Sciences Xining China	China	environmental,top down
10.1007/s13187-009-0002-4	Anchorage USA	United States	diversity,participatory design,top down,body
10.1007/978-3-642-41151-9_26	Joint Research Centre, Institute for Environment and Sustainability European Commission Ispra Italy;Dipartimento di Elettronica e Informazione Politecnico di Milano Milano Italy	Italy	participatory design,top down
10.1007/s40596-015-0323-z	University of Michigan Medical School Ann Arbor USA;University of Virginia Charlottesville USA	United States	body,involvement,stakeholders,top down
10.1007/s10404-008-0392-3	Sibley School of Mechanical and Aerospace Engineering Cornell University Ithaca USA	United States	involvement,top down
10.1007/s13593-011-0024-2	Instituto de Ciencias Agrarias, CSIC Madrid Spain	Spain	environmental,involvement,top down,body
10.1007/978-3-319-45324-8_3	Institute for Psychology Darmstadt University of Technology Darmstadt Germany	Germany	body,ideation,context,top down
10.1007/978-3-319-29936-5_5	Leslie Dan Faculty of Pharmacy University of Toronto Toronto Canada;Department of Sociology Trent University Peterborough Canada;Division of Infectious Diseases The Hospital for Sick Children Toronto Canada	Canada	body,ideation,context,top down
10.1007/978-3-319-60417-6_6	Population Council New York USA	United States	body,involvement,top down,context,participatory design
10.1007/s00216-010-3954-7	INRA- UR050 Laboratoire de Biotechnologie de l'Environnement- Avenue des etangs Narbonne France	France	environmental,top down
10.1007/s00520-018-4234-x	Nursing and Health Care, School of Medicine, Dentistry and Nursing, MVLS University of Glasgow Glasgow UK;School of Health, Nursing and Midwifery University of the West of Scotland Paisley UK;NHS Lanarkshire Scotland UK;Department of Computing and Information Sciences University of Strathclyde Livingston Tower Glasgow UK	Unknown	stakeholders,top down
10.1007/978-3-319-58753-0_81	East China University of Science and Technology Shanghai China	China	body,furniture,stakeholders,top down,feedback,participatory design
10.1007/s11069-014-1206-4	Department of Civil and Construction Engineering National Taiwan University of Science and Technology Taipei Taiwan	Taiwan	body,ideation,top down
10.1007/s00607-014-0408-7	The Third Research Institute of Ministry of Public Security Shanghai China;Tsinghua University Beijing China	China	body,stakeholders,top down
10.1007/s12160-009-9089-4		Unknown	body,involvement,ideation,top down
10.1007/s11356-018-1860-2	School of Biosciences and Technology VIT Vellore India;Centre for Nanobiotechnology VIT Vellore India	India	body,top down,furniture
10.1007/s13577-015-0116-4	Key Laboratory for Regenerative Medicine, Ministry of Education Jinan University Guangzhou China;Eye Institute, Medical College of Jinan University, Jinan University Guangzhou China;Department of Ophthalmology The First Clinical Medical College of Jinan University, Jinan University Guangzhou China;Department of Ophthalmology Affiliated Anhui Provincial Hospital of Anhui Medical University Hefei China	China	body,top down
10.1007/978-3-319-24505-8_8	Department of Geography and Jewish Demography Project, Sue and Leonard Miller Center for Contemporary Judaic Studies University of Miami Coral Gables USA;Department of Sociology and Center for Judaic Studies and Contemporary Jewish Life University of Connecticut Storrs USA	United States	body,participatory design,top down
10.1007/s11427-018-9362-y	Key Laboratory of Protein and Plant Gene Research, College of Life Sciences, Center for Quantitative Biology Peking University Beijing China;Beijing International Center for Mathematical Research (BICMR) and Biomedical Pioneering Innovation Center (BIOPIC) Peking University Beijing China;Department of Applied Mathematics University of Washington Seattle USA	China	body,furniture,top down,environmental,participatory design
10.1007/978-3-319-31042-8_12	LIQUIFER Systems Group Gmbh Vienna Austria;Astudio London UK;Mumbai India;Drummondville Canada	Austria;Canada;India	body,top down
10.1007/978-3-319-56538-5_79	Unit for Inland Developement Polytechnic Institute of Guarda Guarda Portugal	Portugal	stakeholders,prototype,top down,environmental,wearables
10.1057/978-1-349-95173-4_8	ESG UQAM Business School, Departement of Marketing UQAM Montreal Canada;Department of Communication University of Montreal Montreal Canada;Department of marketing, and RBC Financial Group Ecommerce Chair holder HEC Montreal Montreal Canada	Canada	body,participatory design,top down
10.1007/978-3-319-71647-3_10	School of Architecture and Built Environment The University of Newcastle Callaghan Australia;School of Architecture and Built Environment The University of Newcastle Callaghan Australia	Australia	participatory design,top down
10.1007/978-3-642-39203-0_4	University of Sheffield Sheffield UK;Xi'an Jiaotong-Liverpool University Suzhou People's Republic of China	China	body,participatory design,top down
10.1140/epjst/e2012-01707-y	Departament de Fisica Fonamental Universitat de Barcelona Barcelona Spain;Research Institute of Geography and the Lived Environment, GeoSciences University of Edinburgh Edinburgh UK;Center for Complex Systems, Institute for Social Studies University of Warsaw Warsaw Poland;Mathematics Department UCL London UK	Poland;Spain	body,ideation,top down,diversity,participatory design
10.1134/S2079978012040024	Laboratory of Biomaterials and Nanomaterials Kazan (Volga Region) Federal University Kazan, Republic of Tatarstan Russia	Unknown	body,involvement,top down
10.1007/978-3-642-17824-5_13	University of Southern California Los Angeles	Unknown	body,stakeholders,participatory design,top down
10.1007/s12160-012-9456-4	Gramercy Research Group Winston-Salem USA;Psychology, Global Health and Medicine Duke University Durham USA;Duke Obesity Prevention Program Duke University Durham USA;Family and Preventive Medicine, Division of Behavioral Medicine University of California, San Diego, mail code 0824 San Diego USA;Active Living Research University of California, San Diego, mail code 0824 San Diego USA	United States	body,involvement,furniture,top down,workflow,diversity,environmental,participatory design
10.1007/978-3-319-64134-8_17	University of Arizona Tucson USA;Faculty of Computer Science and Computer Systems Engineering Arizona State University, School of Computing, Informatics, and Decision Systems Engineering Tempe USA	United States	diversity,participatory design,top down,furniture
10.1007/s10698-016-9258-z	Istituto di Chimica dei Composti OrganoMetallici, ICCOM-CNR (UOS Pisa) Pisa Italy	Italy	ideation,top down
10.1007/s12132-011-9137-6	University of Otago Dunedin New Zealand	New Zealand	environmental,participatory design,top down,body
10.1007/s10995-018-2580-4	University of Wisconsin-Milwaukee, College of Nursing Milwaukee USA;Lovell Johnson Quality of Life Center, Milwaukee Milwaukee USA;University of Wisconsin-Madison Madison USA	United States	body,involvement,top down
10.1007/s00216-009-2839-0	Department of Chemistry Missouri University of Science and Technology Rolla USA;Department of Biological Sciences Missouri University of Science and Technology Rolla USA	United States	body,top down
10.1007/978-3-319-47877-7_30	Faculty of Architecture University of Zagreb Zagreb Croatia	Croatia	participatory design,ideation,context,top down
10.1057/jibs.2011.36	Department of Strategic Management Carlson School of Management, University of Minnesota Minneapolis USA	United States	body,top down
10.1134/S0030400X14040171	Key Laboratory of Specialty Fiber Optics and Optical Access Networks Shanghai University Shanghai P.R. China;Laboratory for Microstructures Shanghai University Shanghai P.R. China	China	body,top down
10.1007/s11426-017-9032-x	Hubei Key Laboratory of Bioinorganic Chemistry & Materia Medica, School of Chemistry and Chemical Engineering Huazhong University of Science and Technology Wuhan China;Shenzhen Institute of Huazhong University of Science and Technology Shenzhen China	China	participatory design,top down
10.1007/978-94-007-5690-8_18	Laboratorio di Ingegneria Tissutale Cardiovascolare Centro Cardiologico Monzino, IRCCS Milan Italy;Dipartimento di Scienze Cardiovascolari Universita degli Studi di Milano Milan Italy;Laboratorio di Patologia Vascolare, Istituto Dermopatico dell' Immacolata IDI-IRCCS Rome Italy	Italy	stakeholders,participatory design,top down
10.1007/s10984-014-9171-0	Monash University Clayton Australia;Australian Catholic University Banyo Australia	Australia	body,involvement,participatory design,top down
10.1186/1746-4811-9-10	Department of Plant Systems Biology VIB Gent Belgium;Department of Plant Biotechnology and Bioinformatics Ghent University Ghent Belgium	Belgium	body,top down
10.1186/s12966-015-0272-7	Department of Sport and Exercise Science, Division I Exercise and Health Science University of Stuttgart Stuttgart Germany;Department of Sport and Sport Science and House of Competence Karlsruhe Institute of Technology Karlsruhe Germany;Department of Psychosomatic Medicine and Psychotherapy, Central Institute of Mental Health University of Heidelberg Mannheim Germany	Germany	body,top down
10.1134/S001670291804002X	Vernadsky Institute of Geochemistry and Analytical Chemistry Russian Academy of Sciences Moscow Russia	Unknown	diversity,environmental,top down
10.1007/978-3-642-03887-7_68	IMTEK, Department of Microsystems Engineering, Laboratory for Sensors University of Freiburg Freiburg Germany;Center for Surface Science & Plasma Technology, Department of Chemical Engineering University of Missouri-Columbia Columbia USA	Germany	body,top down
10.1057/s41292-018-0133-0	University Grenoble Alps IRSTEA Grenoble France;Pacte, U. Grenoble Alps Grenoble France;LISIS Interdisciplinary Laboratory on Science, Innovation and Society U. Paris Est Marne la Vallee Paris France;School of Geography University of Melbourne Carlton Australia	Australia;France	body,ideation,top down
10.1007/s10461-017-1839-x	BC Centre for Excellence in HIV/AIDS St. Paul's Hospital Vancouver Canada;Division of AIDS, Faculty of Medicine University of British Columbia Vancouver Canada;Faculty of Health Sciences Simon Fraser University Burnaby Canada;Vancouver Coastal Health Vancouver Canada;Department of Medicine University of Toronto Toronto Canada	Canada	body,involvement,top down
10.1007/978-1-4020-9003-5_11		Unknown	ideation,top down
10.1186/1475-2875-8-215	Eck Institute for Global Health, Department of Biological Sciences University of Notre Dame Notre Dame USA;Institut de Recherche pour le Developpement (IRD) UR016, and Laboratoire de Recherche sur le Paludisme, Organisation de Coordination pour la lutte contre les Endemies en Afrique Centrale (OCEAC) Yaounde Cameroon	Cameroon	environmental,involvement,top down,workflow
10.1007/978-94-007-4156-0_30	Department of Psychology Rochester Institute of Technology Rochester USA;Director of Program Development for Michael D. Miran Rochester USA;Industrial Design Department Rochester Institute of Technology Rochester USA	Iran	environmental,feedback,participatory design,top down
10.1057/9781137284853_5	University of East London UK	Unknown	furniture,top down
10.1007/978-90-481-9072-0_7	University of Niigata Prefecture Tokyo Japan	Japan	body,involvement,top down
10.1186/s12995-018-0186-9	Division of Translational Toxicology and Immunology, Institute for Occupational and Maritime Medicine (ZfAM) University Medical Center Hamburg-Eppendorf (UKE) Hamburg Germany;Faculty of Public Health, Department of Preventive Medicine University of Debrecen Debrecen Hungary;Division of Occupational and Environmental Medicine University of Lund Lund Sweden;Karolinska Institutet, Institute of Environmental Medicine (IMM) Stockholm Sweden;Tumor Epigenetics Unit, Ospedale Policlinico San Martino, National Cancer Institute IRCCS and University of Genoa, DISSAL Genoa Italy;European Society for Environmental and Occupational Medicine Berlin Germany;Cesare Maltoni Cancer Research Center Ramazzini Institute Bologna Italy;San Martino-IST Environmental Carcinogenesis Unit, IRCCS, Ospedale Policlinico San Martino National Cancer Institute Genoa Italy;Social and Environmental Medicine, Institute and Outpatient Clinic of Occupational Friedrich-Alexander-University Erlangen-Nurnberg Erlangen Germany;Institute of Occupational Medicine Charite Universitats Medizin Berlin Germany;WHO European Centre for Environment and Health Bonn Germany;Biomedical Diagnostics Institute Dublin City University Dublin Ireland;Norwegian Institute of Public Health Oslo Norway;Center for Occupational and Environmental Health, Fielding School of Public Health (FSPH) University of California Los Angeles (UCLA) Los Angeles USA;Radboud Institute for Health Sciences Radboudumc (Radboud university medical center) Nijmegen the Netherlands;National Research Center for the Working Environment Copenhagen Denmark;Department of Public Health, Section Environment, Occupation & Health & Danish Ramazzini Centre Aarhus Aarhus University Aarhus Denmark;Department of Tumor Biology University Medical Center Hamburg-Eppendorf (UKE) Hamburg Germany;Department of Histopathology, Central Pathology Laboratory, St James's Hospital Trinity translational Medicine Institute Dublin Ireland;Center for Human Genetics University of Leuven Leuven Belgium	Belgium;Denmark;Germany;Hungary;Ireland;Italy;Netherlands;Norway;Sweden	body,involvement,ideation,top down,environmental,participatory design
10.1007/s10668-010-9257-5	Department of Anthropology University of North Carolina, Chapel Hill Chapel Hill USA	United States	body,top down,context
10.1007/s00520-016-3158-6	Faculty of Arts & Social Sciences Kingston University Kingston UK;Department of Psychology BPP University London UK;Department of Hepatopancreaticobiliary Surgery Royal Surrey County Hospital NHS Foundation Trust Guildford UK;Department of Anaesthesia Royal Surrey County Hospital NHS Foundation Trust Guildford UK	Unknown	body,stakeholders,top down
10.1007/s10209-008-0126-z	School of Computing, Engineering, and Information Sciences Northumbria University Newcastle-upon-Tyne UK;Informatica Escuela Politecnica Superior Madrid Spain	Spain	body,participatory design,ideation,top down
10.1007/s13218-017-0497-5	University of Bamberg Bamberg Germany;University of Washington Bothell Bothell USA	Germany	body,top down,furniture
10.1007/s00779-014-0810-3	Philips Research North America Briarcliff Manor USA;HCI Institute Carnegie Mellon University Pittsburgh USA	United States	stakeholders,top down,workflow
10.1007/978-3-642-39646-5_22	Network for Social and Territorial Innovation (NeSTI) Palermo Italy;Department of Architecture University of Palermo Palermo Italy	Italy	body,top down
10.1007/978-3-319-58011-1_1	School of Social and Policy Studies Flinders University Adelaide Australia	Australia	environmental,top down
10.1007/978-94-024-0911-6_8	General Hospital, Ningxia Medical University Ningxia China;Shanghai Changzheng Hospital Shanghai China;The Second Affiliated Hospital, Xinjiang Medical University Urumqi China;Affiliated First Hospital, Xinjiang Medical University Urumuqi China;Ruijin Hospital, Affiliated to School of Medicine, Shanghai JiaoTong University Shanghai China	China	body,involvement,top down
10.1007/s10811-013-0004-9	Faculty of Agricultural Technology King Mongkut's Institute of Technology Ladkrabang Bangkok Thailand;Faculty of Fishery Kasetsart University Bangkok Thailand	Thailand	body,top down
10.1007/978-981-287-068-1_5	Faculty of Education University of Waikato Hamilton New Zealand	New Zealand	body,top down
10.1007/978-94-007-0443-5_9	Department of Biochemistry and Microbiology Institute of Chemical Technology Prague Prague Czech Republic;IOCB & ICT Joint Laboratory, Institute of Organic Chemistry and Biochemistry Academy of Sciences of the Czech Republic Prague 6 Czech Republic	Czech Republic	environmental,involvement,top down,context
10.1007/978-3-319-16214-0_48	Technological Educational Institute of Western Greece Patras Greece;Ruhr-Universitaet Bochum Bochum Germany;Institute of Informatics and Telecommunications NCSR "Demokritos" Athens Greece	Germany;Greece	stakeholders,top down
10.1007/978-90-481-8675-4_28	Oregon State University Corvallis USA;Positive Action, Inc. Twin Falls USA	United States	body,top down
10.1007/s12369-013-0190-2	Computer-Human Interaction in Learning and Instruction (CHILI) Ecole Polytechnique Federale de Lausanne (EPFL) Lausanne Switzerland	Switzerland	participatory design,top down,workflow
10.1007/978-1-4419-0203-0_1	Louisiana Public Health Institute New Orleans USA;Harvard Medical School Boston USA;Department of Global Health and Population Harvard T. H. Chan School of Public Health Boston USA;Beth Israel Deaconess Medical Center Boston USA;The Fenway Institute, Fenway Health Boston USA	Israel	diversity,top down
10.1007/978-3-658-11044-4_15	Tempe USA	United States	body,top down
10.1007/s10853-011-5571-z	Department of Mechanical Engineering Colorado State University Fort Collins USA;Department of Mechanical Engineering and School of Biomedical Engineering Colorado State University Fort Collins USA	United States	body,top down
10.1007/978-90-481-8572-6_17	Pagliardini Rupi Andreoni and Gazzabin, Studio d´Architettura Arezzo Italy;UDSU, Department of Architecture University of Strathclyde Glasgow UK;Department of Mathematics University of Texas at San Antonio San Antonio USA	Italy	participatory design,top down
10.1186/s12966-015-0188-2	Active Living Research, University of California San Diego USA;Department of Family and Preventive Medicine San Diego USA;Cavill Associates Ltd Stockport UK;University of California San Diego/San Diego State University, Public Health Joint Doctoral Program San Diego USA;James Cook University, Centre for Chronic Disease Prevention Cairns Australia;Progress Health Partnerships Ltd Wigan UK;The University of Sydney, Sydney School of Public Health Sydney Australia	Australia	environmental,participatory design,top down,body
10.1007/978-3-319-32689-4_23	Research and Intervention Laboratory on Business Development in Developing Countries (LARIDEPED) Universite Du Quebec a Trois-Rivieres Trois-Rivieres Canada	Canada	participatory design,ideation,top down
10.1007/s10880-015-9447-2	University of Rochester Rochester USA;PGSP-Stanford Psy.D. Consortium Palo Alto USA;Department of Psychiatry & Behavioral Sciences Stanford University Stanford USA	United States	involvement,top down
10.1186/s12866-015-0560-z	Department of Biology New Mexico State University Las Cruces USA	Mexico	furniture,top down
10.1007/978-3-319-60137-3_1	School of Computing, Creative Technologies, and Engineering Leeds Beckett University Leeds UK;Department of Computer Systems and Networks National Aerospace University "KhAI" Kharkiv Ukraine	Ukraine	body,involvement,stakeholders,top down,participatory design,wearables
10.1186/s40693-016-0050-1	Instituto de Ciencias Marinas y Limnologicas, Universidad Austral de Chile Valdivia Chile;Programa de Doctorado en Ciencias de la Acuicultura, Sede Puerto Montt Universidad Austral de Chile Valdivia Chile;Departamento de Ciencias y Recursos Naturales Universidad de Magallanes Punta Arenas Chile;Centro FONDAP de Investigaciones de Ecosistemas Marinos de Altas Latitudes (IDEAL) Punta Arenas Chile	Chile	environmental,top down,context
10.1007/978-3-319-07638-6_12	School of Computing University of Portsmouth Portsmouth UK	Unknown	body,involvement,stakeholders,top down,participatory design
10.1007/978-4-431-55160-7_6	Tokyo Japan	Japan	body,top down
10.1007/s00248-018-1225-x	Department of Botany, Functional Plant Biology University of Innsbruck Innsbruck Austria;Laboratoire de Genetique et Physiologie des microalgues, InBioS/Phytosystems, Institut de Botanique Universite de Liege Liege Belgium;Applied Ecology and Phycology, Institute of Biological Sciences University of Rostock Rostock Germany;M.G. Kholodny Institute of Botany National Academy of Sciences of Ukraine Kyiv Ukraine	Austria;Belgium;Germany;Ukraine	diversity,involvement,top down,workflow
10.1007/978-3-319-05825-2_4	University of Eastern Finland Joensuu Finland	Finland	body,top down,furniture
10.1007/s00227-018-3397-9	Instituto de Desarrollo Costero (IDC) Universidad Nacional de la Patagonia San Juan Bosco (UNPSJB) Comodoro Rivadavia Argentina;Facultad de Ciencias Naturales y Ciencias de la Salud, Departamento de Biologia y Ambiente UNPSJB Comodoro Rivadavia Argentina;Institut des sciences de la mer de Rimouski Universite du Quebec a Rimouski Rimouski Canada	Argentina;Canada	body,furniture,top down,workflow,environmental
10.1007/s12143-011-9095-8	School of Economics and Finance Victoria University of Wellington Wellington New Zealand	New Zealand	body,top down,context
10.1007/978-981-10-6502-6_15	Department of Control and Mechatronics, Faculty of Electrical Engineering Universiti Teknologi Malaysia Skudai Malaysia	Malaysia	furniture,top down
10.1007/s12064-015-0209-3	Instituto Multidisciplinario de Biologia Vegetal (IMBIV), CONICET, Universidad Nacional de Cordoba, Facultad de Ciencias Exactas Fisicas y Naturales, Edificio de Investigaciones Biologicas y Tecnologicas Cordoba Argentina	Argentina	body,ideation,top down
10.1007/s12273-014-0187-2	C-MADE, Centre of Materials and Building Technologies University of Beira Interior Covilha Portugal	Portugal	involvement,participatory design,top down
10.1186/s12877-017-0550-0	Department of Health Services Research, Faculty of Health, Medicine and Life Sciences, CAPHRI Care and Public Health Research Institute Maastricht University Maastricht The Netherlands;Department of Methodology and Statistics, Faculty of Health, Medicine and Life Sciences, CAPHRI Care and Public Health Research Institute Maastricht University Maastricht The Netherlands	Netherlands	body,top down
